Customer_ID,Num_CC,Dependents,Status_Checking_Acc,Credit_History,Purposre_Credit_Taken,Savings_Acc,Years_At_Present_Employment,Marital_Status_Gender,Other_Debtors_Guarantors,Other_Inst_Plans ,Housing,Job,Telephone,Foreign_Worker,Duration_binned,Credit_amount_binned,Age_binned,Default_On_Payment
100017,2,1,A14,A34,A43,A65,A75,A93,A101,A143,A152,A173,A191,A201,B12,B20,B33,0
100018,3,1,A11,A30,A49,A65,A72,A93,A101,A141,A152,A173,A191,A201,B12,B23,B31,0
100019,1,1,A12,A32,A41,A61,A75,A92,A101,A143,A153,A174,A192,A201,B12,B25,B32,1
100020,1,2,A14,A32,A43,A63,A75,A93,A101,A143,A152,A173,A192,A201,B12,B21,B31,0
100021,3,1,A14,A34,A40,A61,A73,A93,A101,A143,A152,A173,A192,A201,B10,B20,B33,0
100022,1,2,A11,A32,A43,A63,A73,A93,A101,A143,A151,A173,A191,A201,B10,B21,B32,0
100023,2,2,A11,A34,A40,A61,A72,A93,A101,A143,A151,A172,A191,A202,B10,B20,B33,0
100024,1,1,A12,A34,A41,A62,A72,A93,A101,A143,A152,A173,A191,A201,B11,B20,B32,0
100025,2,1,A14,A34,A42,A65,A73,A94,A101,A143,A152,A173,A191,A202,B10,B20,B31,0
100026,1,1,A11,A32,A42,A61,A73,A93,A101,A141,A152,A172,A192,A201,B10,B20,B32,0
100027,1,1,A14,A30,A43,A61,A75,A94,A101,A143,A152,A172,A191,A201,B10,B20,B32,0
100028,2,1,A13,A31,A43,A64,A73,A92,A101,A143,A151,A173,A191,A201,B11,B20,B32,0
100029,1,1,A12,A32,A43,A61,A73,A93,A103,A143,A152,A173,A191,A201,B10,B20,B31,0
100030,2,1,A11,A33,A49,A61,A75,A93,A101,A143,A152,A173,A192,A201,B15,B22,B34,1
100031,1,1,A12,A32,A49,A64,A72,A94,A101,A141,A152,A173,A192,A201,B11,B20,B32,0
100032,1,1,A11,A32,A42,A61,A73,A93,A101,A142,A152,A173,A191,A201,B12,B21,B31,0
100033,2,1,A12,A32,A40,A62,A73,A93,A101,A143,A152,A173,A192,A201,B11,B22,B31,0
100034,1,1,A14,A34,A49,A65,A75,A93,A101,A143,A151,A172,A191,A201,B11,B20,B34,0
100035,1,1,A13,A32,A42,A61,A72,A92,A101,A141,A152,A174,A192,A201,B11,B20,B31,0
100036,2,1,A12,A34,A43,A61,A72,A93,A101,A143,A152,A172,A191,A201,B13,B21,B31,1
100037,1,1,A14,A34,A46,A61,A73,A93,A101,A141,A153,A173,A192,A201,B14,B22,B31,0
100038,1,1,A13,A32,A43,A61,A73,A93,A102,A142,A152,A173,A191,A201,B11,B20,B32,1
100039,1,1,A13,A32,A44,A61,A73,A93,A101,A143,A152,A173,A192,A201,B10,B20,B32,0
100040,1,1,A12,A32,A43,A61,A73,A93,A101,A143,A152,A173,A191,A201,B10,B20,B30,0
100041,1,1,A14,A32,A43,A63,A75,A93,A101,A141,A152,A174,A191,A201,B12,B20,B31,0
100042,1,1,A12,A32,A43,A63,A73,A91,A101,A143,A152,A173,A192,A201,B11,B20,B31,0
100043,1,2,A12,A33,A45,A61,A73,A93,A101,A143,A152,A172,A192,A201,B11,B22,B32,0
100044,2,1,A11,A34,A41,A62,A74,A94,A101,A143,A151,A173,A191,A201,B12,B22,B30,0
100045,2,1,A11,A34,A41,A61,A75,A92,A101,A142,A153,A172,A191,A201,B14,B22,B34,1
100046,2,1,A14,A34,A40,A61,A72,A92,A101,A143,A152,A174,A191,A201,B10,B20,B32,0
100047,1,1,A14,A32,A43,A63,A75,A93,A101,A143,A152,A173,A191,A201,B13,B20,B32,0
100048,1,1,A11,A32,A41,A63,A71,A92,A101,A143,A151,A171,A192,A201,B10,B20,B30,0
100049,2,1,A14,A34,A40,A61,A73,A93,A101,A143,A152,A172,A191,A201,B10,B22,B32,0
100050,1,1,A14,A32,A43,A62,A73,A92,A102,A143,A152,A173,A191,A201,B11,B20,B31,0
100051,1,1,A12,A33,A42,A65,A72,A93,A101,A141,A152,A172,A191,A201,B12,B20,B31,0
100052,2,1,A12,A33,A41,A61,A75,A93,A101,A143,A152,A174,A192,A201,B12,B22,B31,0
100053,1,1,A14,A32,A43,A61,A73,A93,A101,A143,A152,A173,A191,A201,B11,B20,B31,0
100054,1,1,A14,A32,A41,A65,A73,A93,A101,A143,A152,A173,A192,A201,B11,B21,B31,0
100055,2,1,A12,A33,A40,A61,A75,A93,A101,A141,A153,A173,A192,A201,B13,B20,B34,1
100056,1,2,A14,A31,A40,A65,A73,A93,A103,A142,A152,A172,A191,A201,B10,B20,B31,0
100057,1,1,A12,A32,A43,A65,A71,A93,A101,A143,A152,A174,A192,A201,B11,B22,B33,1
100058,2,1,A14,A34,A43,A61,A73,A92,A101,A142,A152,A173,A191,A201,B13,B23,B31,0
100059,1,1,A13,A32,A40,A61,A75,A92,A101,A143,A152,A174,A191,A201,B11,B20,B30,0
100060,2,1,A11,A34,A42,A61,A72,A92,A102,A143,A151,A172,A192,A201,B13,B22,B30,1
100061,1,1,A12,A32,A49,A61,A73,A94,A101,A141,A152,A173,A192,A201,B10,B20,B31,0
100062,2,1,A12,A34,A43,A65,A75,A93,A103,A143,A152,A173,A192,A201,B11,B20,B33,0
100063,1,1,A12,A30,A49,A61,A75,A93,A101,A143,A153,A174,A192,A201,B13,B20,B34,1
100064,1,1,A12,A30,A49,A61,A73,A93,A101,A143,A152,A173,A192,A201,B14,B25,B31,1
100065,1,1,A14,A32,A43,A61,A72,A92,A101,A143,A152,A173,A192,A201,B12,B21,B31,0
100066,4,2,A14,A32,A45,A65,A75,A93,A101,A143,A152,A173,A192,A201,B12,B22,B33,0
100067,1,1,A14,A32,A43,A61,A72,A92,A101,A141,A152,A173,A191,A201,B11,B20,B31,0
100068,1,1,A12,A32,A40,A64,A73,A94,A101,A143,A152,A173,A191,A201,B11,B20,B30,0
100069,1,1,A14,A32,A46,A61,A73,A93,A101,A142,A153,A173,A192,A201,B13,B20,B32,1
100070,1,1,A14,A32,A43,A65,A73,A92,A101,A143,A152,A173,A191,A201,B13,B20,B31,0
100071,1,1,A14,A32,A41,A61,A73,A92,A101,A141,A152,A173,A191,A201,B13,B23,B31,0
100072,2,1,A14,A34,A43,A65,A75,A93,A101,A143,A151,A172,A192,A201,B10,B20,B33,0
100073,2,2,A11,A34,A410,A61,A75,A93,A101,A141,A153,A174,A192,A201,B10,B20,B33,0
100074,2,1,A12,A34,A49,A61,A74,A92,A101,A141,A152,A172,A191,A201,B13,B22,B32,0
100075,1,1,A11,A32,A46,A65,A75,A93,A101,A143,A152,A174,A192,A201,B13,B20,B32,1
100076,2,1,A11,A34,A41,A61,A75,A93,A101,A143,A153,A174,A191,A201,B11,B20,B35,0
100077,1,1,A11,A32,A43,A61,A72,A93,A101,A143,A152,A173,A191,A201,B13,B21,B31,1
100078,1,1,A12,A33,A43,A61,A74,A93,A101,A143,A152,A173,A191,A201,B10,B21,B33,0
100079,1,2,A14,A30,A41,A65,A73,A93,A101,A143,A152,A172,A191,A201,B14,B23,B32,0
100080,1,1,A12,A32,A42,A61,A72,A94,A101,A143,A152,A173,A191,A201,B12,B21,B30,0
100081,2,1,A14,A32,A43,A65,A72,A92,A101,A143,A152,A173,A192,A201,B12,B22,B32,1
100082,1,1,A14,A32,A43,A63,A75,A93,A101,A142,A152,A173,A192,A201,B11,B20,B33,0
100083,1,1,A14,A32,A49,A62,A73,A92,A101,A143,A151,A172,A191,A201,B11,B20,B30,0
100084,1,1,A11,A32,A410,A61,A75,A92,A103,A143,A152,A172,A192,A201,B12,B20,B34,0
100085,1,1,A11,A32,A43,A61,A75,A93,A101,A143,A152,A172,A191,A201,B10,B20,B33,0
100086,2,1,A14,A34,A49,A61,A73,A92,A103,A143,A152,A174,A192,A201,B11,B20,B31,0
100087,2,1,A12,A34,A42,A61,A72,A92,A101,A143,A152,A173,A191,A201,B11,B20,B31,0
100088,1,2,A12,A32,A46,A62,A73,A93,A101,A143,A153,A173,A192,A201,B13,B25,B33,1
100089,1,2,A11,A32,A40,A62,A74,A93,A101,A143,A152,A174,A192,A201,B11,B20,B31,0
100090,2,1,A11,A30,A45,A61,A74,A93,A101,A143,A152,A173,A191,A201,B11,B20,B31,1
100091,1,1,A14,A34,A43,A61,A75,A93,A101,A143,A152,A173,A191,A201,B11,B20,B34,0
100092,1,1,A11,A34,A41,A61,A75,A93,A101,A143,A152,A173,A191,A201,B11,B20,B33,0
100093,1,2,A14,A34,A43,A65,A75,A92,A101,A141,A152,A172,A191,A201,B11,B20,B31,1
100094,2,1,A13,A34,A42,A65,A75,A93,A102,A143,A151,A173,A191,A201,B12,B21,B30,0
100095,1,1,A12,A32,A40,A64,A75,A93,A101,A143,A152,A173,A192,A201,B11,B20,B33,0
100096,1,1,A12,A30,A49,A61,A72,A93,A101,A143,A151,A173,A192,A201,B14,B26,B34,1
100097,1,1,A14,A34,A46,A65,A74,A92,A101,A143,A152,A173,A191,A201,B11,B20,B34,0
100098,1,1,A12,A32,A49,A62,A73,A93,A101,A143,A152,A173,A191,A201,B11,B21,B31,0
100099,1,1,A12,A34,A43,A61,A75,A93,A101,A143,A152,A173,A191,A201,B13,B20,B32,0
100100,2,2,A12,A33,A41,A65,A74,A93,A101,A141,A151,A174,A192,A201,B11,B22,B32,0
100101,1,1,A14,A32,A40,A62,A75,A94,A101,A143,A151,A172,A191,A201,B12,B20,B32,0
100102,1,1,A12,A32,A43,A61,A74,A93,A101,A143,A151,A173,A191,A201,B13,B20,B30,0
100103,1,1,A14,A33,A43,A61,A73,A92,A101,A143,A152,A173,A191,A201,B10,B20,B30,0
100104,1,1,A12,A34,A42,A61,A74,A93,A101,A143,A151,A173,A192,A201,B10,B20,B32,0
100105,1,1,A14,A32,A41,A65,A72,A94,A101,A143,A151,A173,A192,A201,B11,B20,B31,0
100106,2,2,A12,A34,A410,A61,A73,A93,A102,A143,A152,A174,A192,A201,B12,B24,B32,1
100107,2,2,A14,A31,A40,A61,A75,A93,A101,A141,A152,A174,A192,A201,B11,B22,B32,1
100108,1,1,A12,A32,A40,A61,A74,A93,A101,A143,A152,A173,A191,A201,B11,B22,B31,0
100109,1,1,A11,A32,A42,A65,A72,A92,A101,A143,A152,A173,A192,A202,B12,B23,B31,0
100110,1,1,A12,A32,A49,A63,A75,A94,A101,A143,A152,A173,A192,A201,B11,B20,B32,0
100111,2,2,A12,A33,A49,A62,A75,A91,A101,A141,A152,A173,A191,A201,B10,B20,B31,0
100112,1,1,A13,A32,A46,A61,A72,A92,A101,A143,A151,A173,A192,A201,B11,B20,B30,0
100113,1,1,A12,A32,A40,A61,A74,A93,A101,A143,A151,A172,A191,A201,B11,B22,B31,0
100114,2,1,A14,A34,A40,A61,A73,A92,A101,A142,A152,A173,A192,A201,B13,B23,B31,1
100115,1,1,A11,A32,A43,A63,A75,A94,A101,A143,A152,A173,A191,A201,B11,B20,B32,0
100116,1,1,A14,A34,A43,A65,A75,A93,A101,A143,A152,A173,A192,A201,B14,B21,B33,0
100117,1,1,A11,A32,A43,A65,A74,A92,A101,A143,A152,A174,A192,A201,B13,B22,B31,1
100118,2,1,A11,A34,A42,A65,A72,A92,A102,A143,A151,A173,A191,A202,B10,B20,B31,0
100119,2,1,A11,A34,A42,A63,A73,A92,A101,A143,A152,A173,A191,A201,B12,B21,B30,1
100120,1,1,A12,A34,A40,A63,A74,A91,A101,A143,A152,A174,A192,A201,B11,B20,B32,0
100121,2,1,A11,A32,A43,A61,A73,A92,A101,A143,A152,A173,A192,A201,B11,B20,B31,1
100122,2,1,A14,A34,A41,A61,A75,A92,A101,A143,A151,A174,A192,A201,B12,B21,B32,0
100123,1,1,A14,A32,A42,A61,A73,A93,A101,A143,A151,A172,A191,A201,B11,B20,B30,0
100124,2,1,A13,A34,A40,A61,A75,A93,A101,A143,A153,A173,A192,A201,B10,B20,B34,0
100125,1,1,A12,A32,A42,A65,A72,A92,A101,A143,A151,A173,A191,A201,B11,B20,B31,1
100126,2,1,A11,A34,A40,A61,A73,A93,A101,A143,A152,A173,A191,A201,B11,B20,B31,0
100127,1,1,A11,A32,A43,A61,A73,A94,A101,A143,A152,A172,A191,A201,B11,B20,B32,0
100128,1,1,A12,A32,A45,A61,A73,A93,A101,A143,A152,A173,A191,A201,B11,B20,B31,1
100129,2,1,A12,A34,A41,A61,A71,A93,A101,A143,A152,A174,A192,A201,B11,B20,B31,0
100130,2,1,A11,A34,A40,A61,A73,A92,A102,A143,A152,A173,A191,A201,B11,B21,B31,1
100131,1,1,A12,A32,A40,A65,A74,A92,A101,A143,A152,A173,A191,A201,B14,B23,B30,0
100132,1,1,A11,A33,A46,A61,A73,A93,A101,A142,A152,A173,A192,A201,B13,B22,B31,1
100133,2,1,A14,A32,A42,A61,A72,A93,A101,A141,A152,A172,A191,A201,B11,B21,B31,0
100134,2,1,A14,A32,A42,A61,A73,A93,A101,A141,A153,A173,A191,A201,B11,B20,B33,0
100135,1,1,A14,A32,A43,A62,A74,A92,A101,A143,A152,A173,A192,A201,B15,B24,B30,0
100136,2,1,A14,A34,A43,A65,A75,A92,A101,A143,A152,A173,A192,A201,B11,B20,B32,0
100137,2,1,A14,A33,A41,A64,A73,A93,A101,A143,A152,A173,A191,A201,B12,B23,B31,0
100138,1,1,A12,A32,A43,A63,A73,A93,A101,A143,A152,A172,A191,A201,B11,B20,B35,1
100139,3,1,A12,A34,A43,A65,A74,A93,A103,A141,A152,A173,A192,A201,B11,B21,B32,0
100140,1,1,A13,A32,A43,A61,A73,A92,A101,A143,A151,A172,A192,A201,B11,B20,B32,0
100141,1,1,A13,A32,A40,A64,A72,A94,A101,A143,A152,A171,A191,A202,B10,B20,B31,0
100142,1,1,A12,A32,A43,A61,A72,A92,A101,A143,A152,A174,A192,A201,B13,B21,B31,0
100143,1,1,A11,A32,A43,A61,A73,A93,A101,A143,A152,A174,A191,A201,B12,B21,B31,0
100144,1,1,A11,A32,A42,A61,A73,A93,A101,A143,A152,A173,A191,A201,B11,B20,B30,1
100145,1,1,A14,A34,A42,A61,A72,A92,A101,A143,A152,A173,A192,A201,B11,B20,B30,0
100146,1,1,A12,A31,A49,A62,A74,A93,A101,A143,A152,A173,A191,A201,B14,B21,B31,0
100147,2,1,A11,A34,A40,A61,A75,A92,A101,A143,A152,A173,A192,A201,B10,B20,B32,0
100148,2,1,A14,A34,A40,A62,A74,A92,A101,A143,A152,A173,A192,A201,B11,B20,B33,0
100149,2,1,A11,A34,A42,A61,A73,A93,A103,A143,A152,A173,A191,A201,B13,B22,B31,0
100150,2,1,A14,A34,A43,A64,A75,A93,A101,A143,A152,A173,A191,A201,B11,B20,B33,0
100151,1,2,A14,A32,A43,A62,A75,A93,A101,A141,A153,A173,A192,A201,B10,B20,B32,0
100152,1,1,A14,A32,A43,A61,A73,A93,A101,A143,A152,A173,A192,A202,B10,B20,B32,0
100153,1,1,A13,A32,A43,A61,A73,A93,A101,A143,A152,A173,A191,A201,B13,B22,B30,0
100154,1,1,A12,A34,A41,A64,A75,A92,A101,A143,A151,A173,A191,A201,B12,B23,B31,0
100155,1,1,A12,A33,A49,A62,A74,A93,A101,A143,A151,A174,A192,A201,B12,B22,B32,0
100156,1,1,A11,A32,A42,A61,A73,A92,A101,A143,A151,A173,A191,A201,B11,B20,B30,1
100157,2,2,A11,A34,A45,A62,A75,A93,A103,A143,A152,A173,A191,A202,B10,B20,B33,0
100158,1,1,A11,A31,A48,A61,A75,A94,A101,A141,A152,A172,A191,A201,B11,B20,B33,0
100159,2,1,A12,A32,A40,A62,A74,A93,A101,A141,A152,A173,A192,A201,B12,B21,B32,0
100160,2,2,A14,A34,A43,A65,A73,A93,A101,A143,A152,A172,A191,A201,B10,B20,B31,0
100161,1,2,A14,A34,A43,A62,A75,A93,A101,A143,A152,A173,A192,A201,B12,B21,B32,0
100162,2,1,A14,A34,A40,A61,A72,A92,A101,A143,A152,A173,A191,A201,B11,B20,B31,0
100163,2,1,A14,A32,A44,A63,A74,A93,A101,A143,A152,A173,A192,A201,B11,B20,B32,0
100164,1,1,A12,A32,A40,A61,A71,A93,A101,A141,A153,A174,A192,A201,B10,B22,B35,0
100165,1,1,A14,A32,A40,A63,A75,A93,A101,A143,A152,A173,A191,A201,B13,B20,B32,0
100166,1,1,A14,A32,A42,A63,A73,A93,A101,A143,A152,A173,A192,A201,B10,B21,B31,0
100167,1,1,A11,A32,A42,A61,A71,A92,A101,A143,A152,A173,A191,A201,B11,B20,B31,1
100168,1,1,A12,A32,A42,A64,A72,A92,A101,A143,A152,A173,A191,A201,B10,B20,B30,0
100169,1,1,A14,A32,A42,A61,A74,A92,A101,A143,A151,A173,A192,A201,B12,B21,B31,0
100170,2,1,A12,A34,A49,A61,A75,A91,A101,A143,A152,A173,A192,A201,B12,B20,B31,1
100171,2,2,A11,A30,A40,A61,A75,A93,A101,A143,A151,A173,A191,A201,B11,B20,B31,1
100172,1,1,A14,A32,A42,A61,A73,A92,A101,A143,A152,A173,A192,A201,B11,B20,B31,0
100173,1,1,A12,A33,A42,A61,A71,A92,A101,A143,A152,A174,A192,A201,B12,B20,B31,1
100174,1,1,A12,A32,A43,A61,A73,A93,A103,A143,A152,A173,A191,A202,B10,B20,B31,0
100175,2,1,A11,A33,A46,A61,A72,A93,A101,A143,A152,A173,A191,A201,B11,B21,B31,1
100176,1,1,A14,A31,A41,A65,A71,A92,A101,A141,A152,A174,A192,A201,B12,B22,B33,1
100177,1,1,A11,A32,A42,A61,A73,A91,A101,A143,A152,A173,A191,A201,B11,B21,B32,0
100178,2,1,A11,A34,A43,A63,A75,A93,A101,A143,A152,A173,A191,A201,B10,B20,B33,0
100179,2,2,A14,A32,A43,A61,A74,A93,A101,A143,A151,A174,A192,A201,B11,B20,B31,0
100180,2,1,A11,A34,A40,A61,A75,A93,A101,A143,A152,A173,A191,A201,B11,B20,B35,0
100181,2,1,A14,A33,A49,A61,A72,A91,A101,A143,A152,A173,A191,A201,B13,B23,B31,1
100182,2,1,A12,A33,A49,A61,A73,A91,A101,A142,A152,A174,A192,A201,B13,B21,B31,1
100183,2,2,A11,A31,A40,A65,A73,A93,A101,A143,A152,A172,A191,A201,B11,B20,B32,1
100184,1,1,A14,A34,A42,A64,A73,A93,A101,A143,A152,A173,A192,A201,B12,B21,B33,0
100185,1,2,A12,A34,A40,A61,A75,A93,A101,A141,A152,A173,A192,A201,B11,B20,B32,1
100186,2,1,A14,A34,A43,A61,A73,A93,A101,A143,A152,A173,A191,A201,B11,B20,B31,0
100187,1,2,A12,A31,A41,A61,A75,A92,A101,A141,A153,A174,A192,A201,B10,B22,B35,1
100188,3,1,A12,A34,A40,A61,A71,A93,A101,A143,A153,A171,A192,A201,B11,B20,B35,0
100189,1,1,A11,A32,A43,A62,A74,A94,A101,A143,A152,A173,A191,A201,B11,B20,B30,1
100190,2,1,A12,A30,A42,A61,A73,A92,A101,A141,A152,A173,A192,A201,B11,B21,B31,0
100191,3,1,A14,A32,A49,A64,A73,A93,A101,A143,A152,A174,A192,A201,B12,B21,B33,1
100192,1,2,A12,A30,A49,A62,A74,A93,A101,A143,A153,A172,A191,A201,B14,B21,B31,1
100193,1,2,A12,A32,A49,A61,A73,A93,A101,A143,A152,A173,A192,A201,B12,B21,B32,1
100194,1,1,A14,A32,A43,A61,A74,A94,A101,A143,A151,A173,A191,A201,B10,B20,B31,0
100195,1,1,A12,A32,A43,A62,A73,A93,A103,A143,A151,A173,A191,A201,B13,B21,B30,1
100196,2,1,A12,A34,A46,A61,A75,A92,A101,A143,A152,A174,A192,A201,B10,B20,B31,1
100197,2,1,A14,A34,A43,A61,A73,A92,A101,A143,A152,A173,A192,A201,B10,B20,B31,0
100198,4,1,A12,A32,A42,A62,A72,A92,A101,A141,A151,A173,A191,A201,B11,B20,B31,1
100199,1,1,A12,A32,A41,A65,A75,A93,A101,A141,A153,A173,A192,A201,B12,B21,B32,0
100200,1,1,A12,A33,A42,A61,A75,A91,A101,A143,A152,A174,A192,A201,B11,B21,B32,1
100201,2,1,A14,A34,A46,A63,A75,A93,A101,A143,A152,A173,A192,A201,B10,B20,B33,0
100202,1,1,A11,A32,A40,A61,A73,A94,A101,A143,A152,A172,A191,A201,B11,B20,B31,0
100203,2,1,A14,A33,A49,A61,A74,A93,A101,A143,A152,A173,A191,A201,B12,B22,B31,0
100204,1,1,A11,A32,A48,A61,A74,A94,A101,A143,A151,A173,A191,A201,B11,B20,B30,1
100205,2,2,A14,A34,A40,A61,A75,A93,A101,A143,A152,A172,A191,A201,B11,B20,B32,0
100206,3,2,A11,A34,A41,A61,A75,A93,A101,A143,A153,A174,A192,A201,B12,B24,B32,0
100207,3,1,A14,A34,A42,A61,A75,A93,A101,A143,A152,A173,A192,A201,B11,B20,B32,0
100208,1,1,A12,A34,A44,A61,A74,A93,A101,A143,A152,A173,A191,A201,B11,B20,B31,0
100209,1,1,A11,A32,A49,A61,A73,A94,A101,A142,A152,A172,A191,A201,B12,B22,B30,0
100210,1,1,A14,A32,A41,A64,A74,A93,A101,A143,A152,A173,A191,A202,B11,B20,B34,0
100211,2,2,A14,A34,A43,A65,A73,A93,A101,A143,A152,A173,A191,A201,B10,B21,B31,0
100212,1,1,A14,A32,A43,A65,A75,A92,A101,A143,A152,A172,A192,A201,B13,B21,B33,0
100213,2,1,A11,A30,A49,A61,A71,A93,A101,A142,A152,A173,A192,A201,B12,B22,B33,1
100214,1,1,A13,A33,A49,A61,A75,A93,A101,A143,A152,A174,A192,A201,B12,B20,B35,1
100215,1,1,A14,A34,A43,A65,A75,A93,A101,A143,A152,A173,A192,A201,B13,B21,B33,0
100216,2,1,A12,A34,A48,A65,A74,A92,A101,A143,A152,A172,A191,A201,B10,B20,B32,0
100217,1,1,A11,A30,A49,A61,A74,A93,A101,A141,A152,A173,A192,A201,B11,B21,B31,0
100218,1,1,A13,A32,A43,A61,A73,A93,A101,A143,A152,A173,A192,A201,B13,B21,B30,0
100219,1,1,A11,A32,A42,A61,A73,A91,A101,A143,A151,A172,A191,A201,B12,B21,B30,0
100220,1,1,A14,A32,A40,A61,A73,A92,A101,A143,A152,A173,A192,A201,B10,B20,B34,0
100221,1,1,A12,A32,A43,A61,A72,A94,A103,A141,A152,A172,A191,A201,B11,B20,B31,0
100222,1,1,A11,A32,A46,A65,A73,A92,A101,A141,A151,A173,A192,A201,B11,B20,B30,0
100223,2,1,A14,A32,A43,A61,A73,A93,A101,A141,A152,A173,A191,A201,B11,B20,B31,0
100224,2,2,A14,A33,A49,A65,A73,A93,A101,A143,A152,A173,A192,A201,B12,B21,B31,0
100225,1,1,A14,A32,A41,A61,A73,A93,A101,A143,A152,A173,A192,A201,B11,B21,B31,0
100226,2,1,A14,A30,A45,A61,A73,A93,A101,A143,A152,A173,A191,A201,B13,B21,B31,0
100227,2,1,A12,A32,A43,A64,A74,A93,A102,A141,A152,A173,A192,A201,B14,B24,B31,1
100228,1,1,A11,A32,A42,A61,A75,A93,A101,A143,A153,A174,A192,A201,B11,B23,B33,1
100229,1,1,A14,A32,A43,A61,A74,A93,A101,A143,A152,A173,A191,A201,B10,B20,B30,1
100230,1,1,A11,A32,A42,A61,A72,A93,A101,A141,A153,A173,A191,A201,B12,B21,B30,0
100231,1,1,A13,A32,A43,A61,A73,A93,A101,A143,A152,A173,A191,A201,B13,B21,B31,1
100232,1,1,A14,A32,A40,A63,A75,A93,A101,A143,A153,A172,A191,A201,B10,B21,B33,0
100233,1,1,A14,A32,A43,A62,A74,A93,A101,A143,A152,A173,A191,A201,B11,B20,B32,0
100234,1,1,A12,A32,A43,A61,A73,A94,A103,A143,A152,A172,A191,A201,B11,B20,B31,0
100235,3,2,A14,A34,A43,A61,A74,A93,A101,A143,A152,A172,A191,A201,B10,B20,B32,0
100236,1,2,A11,A32,A43,A61,A71,A93,A101,A142,A152,A174,A191,A201,B12,B20,B31,1
100237,1,1,A12,A32,A40,A65,A71,A93,A101,A143,A152,A171,A192,A201,B10,B25,B30,1
100238,2,1,A12,A32,A49,A62,A75,A91,A101,A141,A151,A172,A191,A201,B11,B21,B34,1
100239,2,1,A14,A34,A43,A61,A73,A92,A101,A143,A152,A173,A191,A201,B11,B20,B32,0
100240,1,2,A11,A32,A43,A61,A75,A93,A103,A143,A152,A173,A191,A201,B12,B21,B32,0
100241,1,1,A11,A32,A40,A65,A75,A92,A101,A141,A152,A173,A191,A201,B12,B20,B31,1
100242,1,2,A14,A32,A43,A61,A74,A93,A101,A143,A152,A173,A191,A201,B10,B20,B33,0
100243,2,2,A11,A30,A41,A61,A75,A93,A101,A143,A153,A173,A191,A201,B14,B21,B30,1
100244,2,1,A14,A34,A49,A61,A73,A92,A101,A143,A152,A173,A191,A201,B11,B20,B31,0
100245,1,2,A14,A31,A48,A63,A73,A92,A101,A143,A152,A172,A191,A201,B11,B21,B32,0
100246,1,1,A14,A32,A49,A61,A74,A93,A101,A143,A152,A173,A192,A201,B12,B20,B31,0
100247,3,1,A14,A34,A43,A61,A75,A93,A101,A143,A152,A173,A191,A201,B11,B20,B33,0
100248,1,1,A14,A30,A40,A62,A73,A93,A101,A141,A151,A173,A191,A202,B10,B20,B32,0
100249,1,1,A13,A32,A42,A61,A73,A93,A101,A143,A152,A173,A191,A201,B12,B20,B31,0
100250,1,1,A14,A32,A43,A61,A71,A92,A102,A143,A151,A173,A191,A201,B11,B20,B30,1
100251,2,1,A11,A34,A40,A64,A74,A92,A101,A143,A152,A172,A192,A201,B10,B20,B32,0
100252,1,1,A13,A32,A42,A61,A73,A92,A101,A143,A152,A172,A191,A201,B11,B20,B33,0
100253,1,1,A12,A32,A40,A61,A73,A92,A103,A141,A152,A173,A191,A201,B12,B20,B30,1
